pdb_id,bin,method,resolution_range,chiralfold_rama_outlier_pct,wwpdb_rama_outlier_pct
5S39,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
3NU3,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
3O1C,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
5S2E,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
3DQY,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
3NED,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.45,0.0
8AGQ,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.47,0.0
3OG2,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.2,0.0
3NU6,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.52,0.0
8AVR,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.94
5S2M,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
8AUU,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.32,0.0
3ORU,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.44,0.0
5S2L,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
3DLC,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
3E6Z,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,1.28
3NE0,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.49
3DK9,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.43,0.22
3D1P,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
3DUW,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.69,0.46
8AE9,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
8AVU,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
3NGP,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
5S1Y,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
3D1X,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
3O5O,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
3DS4,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
3NCL,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
5S2O,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
3DVS,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
5S2S,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
3E2O,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.35,0.35
3DS2,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
3ECG,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
8A3G,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
4OC1,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.72,0.43
4OD7,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
7HJ6,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
4ODM,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
6O6O,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
7HJY,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
7HKU,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.53,0.71
9C81,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.28,0.0
4ODP,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
6O95,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.53,0.09
4OCK,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
6OG9,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
4OB6,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.95,0.32
6O8L,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
9C9N,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.39,0.0
4OAE,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
6O5X,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
7HJK,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
9C9K,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.72,0.0
9C7A,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
9CG1,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.23,0.0
9CB8,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.99,0.0
6O6J,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
6OC0,xray_high,X-RAY DIFFRACTION,1.20-1.80,1.1,0.28
4ODC,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.35
6O8M,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
7HKB,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.53,0.18
7HJU,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
9C8T,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.3,0.3
4OCH,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
6OA6,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.44,0.0
7HJA,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
9C84,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.42,0.0
6O7M,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.65,0.2
4OCC,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.74,0.0
4ODG,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.75,0.0
9CGH,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.82,0.0
9CFB,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.17,0.0
7V38,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.5,0.0
6TEC,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.43,0.14
6TAO,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.15,0.15
2QYC,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.0,0.0
6PB9,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.36,1.09
7V0J,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.3,0.07
2QZ6,xray_med,X-RAY DIFFRACTION,1.80-2.50,1.45,1.16
2QXL,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.0,0.0
6PEB,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.32,0.11
6PBW,xray_med,X-RAY DIFFRACTION,1.80-2.50,1.16,0.23
2QYQ,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.0,0.0
7V3E,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.12,0.0
7V4F,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.3,0.0
7V36,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.0,0.0
2QY1,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.3,0.15
7V51,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.98,1.38
2QWZ,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.18,0.18
