pdb_id,bin,method,resolution_range,chiralfold_rama_outlier_pct,wwpdb_rama_outlier_pct
1A6M,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.67,0.0
1C0R,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
1A0M,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
1GOK,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.33,0.0
1H4G,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.49,0.0
1BZR,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
13RV,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
13RW,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
1G6X,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
1H12,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
1CNR,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
1EXR,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.69,0.69
1GWE,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.6,0.0
1AMM,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
10XE,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.56,0.56
1FY2,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
1HEU,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.54,0.0
1H5V,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.33,0.0
1BYI,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
1GYO,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
11CG,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
1F94,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
1D4T,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
1AHO,xray_ultra,X-RAY DIFFRACTION,<= 1.20,0.0,0.0
10ZO,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.29,0.0
13ZH,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.44,0.22
128L,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
13SK,xray_high,X-RAY DIFFRACTION,1.20-1.80,1.49,0.0
130L,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
13ZN,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
10NV,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
10IA,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.78,0.0
13ZM,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
10ZB,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.5,0.0
139L,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
13YX,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.22,0.22
13YP,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.22,0.0
162L,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
13SM,xray_high,X-RAY DIFFRACTION,1.20-1.80,2.21,0.0
13ZZ,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
11TU,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
10VC,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.62,0.18
10XF,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.0
10JX,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.36
10XA,xray_high,X-RAY DIFFRACTION,1.20-1.80,1.11,0.0
13YQ,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.22,0.0
13SQ,xray_high,X-RAY DIFFRACTION,1.20-1.80,2.17,0.0
13YK,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.44,0.0
13ZL,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.22,0.44
104M,xray_high,X-RAY DIFFRACTION,1.20-1.80,0.0,0.66
10JU,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.2,0.0
11OY,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.0,0.0
105M,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.0,0.0
13MK,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.32,0.0
13PN,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.0,0.0
11WX,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.41,0.0
13OT,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.0,0.0
13IQ,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.0,0.0
13OB,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.0,0.0
11GS,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.97,0.49
10TY,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.0,0.26
10HY,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.78,0.0
12TD,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.0,0.35
13LD,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.53,0.0
12NP,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.57,0.11
13MI,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.64,0.0
10OQ,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.69,0.52
12KH,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.0,0.0
13NM,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.0,0.0
13MY,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.32,0.0
1AO5,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.66,0.43
1AKJ,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.67,0.5
1ACD,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.0,2.34
1A3W,xray_low,X-RAY DIFFRACTION,2.50-3.40,4.24,6.41
1A0R,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.68,0.68
1AKN,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.92,2.57
1AO7,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.87,0.87
1ALJ,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.68,0.68
1AI1,xray_low,X-RAY DIFFRACTION,2.50-3.40,2.31,1.82
1A47,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.73,0.59
1AN2,xray_low,X-RAY DIFFRACTION,2.50-3.40,4.76,13.1
11AD,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.32,0.32
10SL,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.61,0.0
13RF,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.32,0.0
12KI,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.0,0.0
1AP8,nmr,SOLUTION NMR,NMR,9.95,12.11
1A57,nmr,SOLUTION NMR,NMR,13.16,16.67
1A5J,nmr,SOLUTION NMR,NMR,4.63,11.18
1A23,nmr,SOLUTION NMR,NMR,3.74,2.67
1AB3,nmr,SOLUTION NMR,NMR,11.63,11.9
1ARE,nmr,SOLUTION NMR,NMR,3.7,4.78
1AAB,nmr,SOLUTION NMR,NMR,4.94,2.58
1AHL,nmr,SOLUTION NMR,NMR,2.13,2.92
11HN,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),0.0,0.0
11CK,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),0.38,0.0
13HQ,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),0.0,0.0
11MV,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),0.21,0.0
11NP,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),0.0,0.0
11HX,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),0.23,0.0
11IC,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),0.61,0.0
10FT,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),1.17,0.0
11HK,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),0.25,0.0
11BC,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),0.0,0.0
11OV,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),0.91,0.0
